상호,주소,별점,메뉴
이이요,서울 광진구 능동로32길 6,4.2,"이이요특선초밥(23,000원), 이이요초밥(16,000원), 광어초밥(18,000원), 묵은지광어초밥(18,000원), 연어초밥(17,000원), 광어+연어덮밥(17,000원), 소고기초밥(14,000원), 삶은새우초밥(12,000원), 연어마끼(19,500원), 회덮밥(15,000원), 낫또회덮밥(16,500원), 새우장밥(13,500원), 연어덮밥(16,000원), 간장새우연어밥(17,000원), 홍새우연어덮밥(17,000원), 광어지느러미연어밥(18,000원), 도미연어덮밥(18,000원), 이이요마끼(12,000원)"
호야초밥참치 본점,서울 광진구 능동로13길 39 한아름건물 1층,2.8,"A호야 12pcs(17,000원), （BEST）B특호야12pcs(21,000원), 로얄스시12pcs(36,000원), 참다랑어(54,000원), 대뱃살(55,000원), C연어（양파소스）12pcs(26,000원), 모둠회（7종）(49,000원), 수제계란초밥（다테마끼）(1,600원), 호야 지라시(12,000원), 회덮밥(11,000원), 장어덮밥(20,000원), 알탕(13,000원), 호야 연어 모듬 12pcs(31,000원), 참다랑어 오도로 초밥 12pcs(62,000원), 참다랑어 가마도로&오도로（12pcs）(55,000원), 참다랑어 참치뱃살 12pcs(40,000원), 참다랑어 가마도로 12pcs(60,000원), 연어초밥（8pcs）(18,000원), 소고기 초밥 12pcs(26,000원), 광어 초밥 12pcs(32,000원), 광어6＋연어6 12pcs(29,000원), 소고기6＋연어6 12pcs(27,000원), 연어아부리6＋연어6 12pcs(27,000원), 참이슬 후레쉬(4,500원), 처음처럼(4,500원), 진로(4,500원), 테라(4,500원), 카스(4,500원), 청하(5,000원), 매화수(5,000원)"
스위트앤카츠 화양직영점,서울 광진구 광나루로17길 14 1층,3.6,"무한리필(평일점심)(12,900원), 무한리필(평일저녁)(13,900원), 무한리필(주말,공휴일)(14,500원), 무한리필 초등학생(평일점심)(9,900원), 무한리필 초등학생(주말,공휴일)(10,500원), 미취학(24개월~)(5,900원)"
스시오 건대점,서울 광진구 능동로 141 2층,,"연어모듬초밥 （14 pcs）(20,000원), 모듬초밥 （14 pcs）(17,000원), 광어초밥 （14 pcs）(20,000원), 광어 & 생연어초밥 （14 pcs）(20,000원), 음료수(1,000원)"
고베규카츠 건대점,서울 광진구 아차산로33길 64 2층,,"리얼치즈카츠정식(22,000원), 부채살 규카츠 정식(소) 160g(19,000원), 커리크림우동(14,000원), 불닭크림볶음면(14,000원), 치킨마요덮밥(11,000원), 새우삼겹덮밥(12,000원)"
스시텐,서울 광진구 구의강변로 86 101호,4.2,"텐초밥(10pcs)(13,500원), 특초밥(12pcs)(18,800원), 스폐셜초밥(12pcs)(22,800원), 생선초밥(12pcs)(23,000원), 도로초밥(10pcs)(38,000원), 2인세트(43,800원), 3인세트(74,800원), 온가족세트(115,800원), A정식(1인)(27,000원), B정식(1인)(37,000원), 나가사끼우동+초밥(6pcs)(15,800원), 연어초밥(10pcs)(21,000원), 광어초밥(10pcs)(22,000원), 광어,연어초밥(10pcs)(21,500원), 소고기초밥(5pcs)(14,000원), 간장새우초밥(5pcs)(12,500원), 새우치즈갈릭 초밥(5pcs)(9,500원), 유부초밥(5pcs)(8,000원), 계란초밥(10pcs)(11,000원), 초새우초밥(10pcs)(14,000원)"
요비,서울 광진구 아차산로29길 34 지층,4.7,"2인사시미(35,000원), 통우럭튀김(21,900원), 살치살 타다끼(17,500원), 백김치 차슈모리(16,500원), 모츠나베(22,900원), 돼지고기 숙주볶음(13,900원), 소고기 숙주볶음(14,900원), 명란버터구이(14,000원), 모듬꼬치6종(15,800원), 핫닭껍질튀김(10,900원)"
소바쿠,서울 광진구 천호대로 650 1층,3.7,"토리카라(6,500원), 새우(2,500원), 단호박(1,000원), 가지(1,000원), 고구마(1,000원), 꽈리고추(1,000원), 모듬튀김(5,500원)"
오코노미야키식당하나,서울 광진구 능동로13길 111 1층,4.6,"돼지오징어타마(14,500원), 시오소바(14,000원), 야키소바(13,500원), 오징어타마(14,000원), 돈페이야키(7,000원), 돼지타마(13,000원), 야키우동(13,500원)"
와꼬,서울 광진구 구의강변로 90 2층,3.0,"와꼬초밥(18,000원), 광어초밥(21,000원), 연어초밥(21,000원), 와꼬스페셜초밥(26,000원), 광어＋연어초밥(21,000원), 활어 회덮밥(20,000원), 와꼬 스페셜모둠회（（시그니쳐메뉴））(45,000원), 참돔＋광어회(45,000원), 참돔회(50,000원), 광어회(40,000원), 연어회(40,000원), 광어＋연어회(40,000원), 혼술세트(23,000원), 커플세트(35,000원), 광어물회세트(38,000원), 모듬물회세트(38,000원), 활어회덮밥(20,000원), 콜라(2,000원), 스프라이트(2,000원)"
