상호,주소,별점,메뉴
원조할아버지손두부,서울 광진구 자양로 324 1층,4.4,"모두부(홀)(7,000원), 순두부(홀)(4,000원), 콩국수(계절메뉴)(7,000원), 서리태콩국수(계절메뉴)(10,000원), 콩물(5,500원), 서리태콩물(7,500원)"
서북면옥,서울 광진구 자양로 199-1 1층,3.6,"물냉면(10,000원), 비빔냉면(10,000원), 온면(10,000원), 만두국(10,000원)"
영미오리탕 군자점,서울 광진구 동일로60길 53 천수빌딩 1층,4.0,"오리탕 (1마리)(61,000원), 오리탕 (반마리)(39,000원), 생로스(61,000원), 주물럭(61,000원)"
계탄집 본점,서울 광진구 능동로 31 1층,4.4,"간장양념닭갈비 (1인)(14,000원), 매운양념닭갈비 (1인)(14,000원), 마늘소금닭갈비(1인)(14,000원)"
화기애애 건대점,서울 광진구 아차산로31길 16 1층,4.1,"소고기 모듬(48,000원), 돼지 모듬 (소)(400g)(29,500원), 돼지 모듬 (중)(600g)(44,500원), 돼지 모듬 (대)(900g)(66,500원), 동치미 국수(4,500원), 비빔 국수(4,500원), 볶음 김치와 누룽지탕(6,000원), 글라스 와인(6,000원), 삼겹살 (120g)(10,500원), 생목등심 (120g)(10,500원), 갈비살 (120g)(10,500원), 양념 갈비살 (120g)(13,000원), 꽃살 (120g)(22,000원), 생항정살 (120g)(12,000원), 묵밥(5,000원), 안창살(120g)(19,000원), 김치찌개&계란찜(무한리필)(0원)"
건대사시미,서울 광진구 아차산로33길 23 1층,3.0,"모듬 해산물 물회(30,000원), 대광어 숙성회(소)(30,000원), 본 광어회/생연어회 (소)(53,000원), 본 대광어숙성회/모듬회/대방어회 (소)(59,000원), 통우럭매운탕(30,000원), 수제비조개탕(12,000원), 산낙지조개탕(20,000원), 해물얼큰라면(7,000원), 회덮밥(7,000원)"
남한강민물매운탕,서울 광진구 동일로 150 1층,3.8,"메기 1 + 참게 1 (2인분)(40,000원), 메기 2 + 참게 1 (3인분)(59,000원), 메기 3 + 참게 1 (4인분)(76,000원), 미꾸라지튀김(1사라)(20,000원), 민물새우튀김(1사라)(20,000원)"
백일도,서울 광진구 능동로47길 37,4.0,"광어&연어(30,000원), 광어&우럭&연어(40,000원), 전복(15,000원), 해삼(15,000원), 가리비(15,000원), 멍게(10,000원), 돌멍게(15,000원), 소라(20,000원), 해산물모듬(30,000원), 아무거나(25,000원), 백일도모듬 (해산물 택3)(20,000원), 백일도모둠회(5가지)(1.5인)(28,000원), 광어(2인)(28,000원), 방어 (소)(50,000원), 방어 (중)(60,000원), 방어 (대)(80,000원), 방어 (특)(100,000원)"
대명소곱창,서울 광진구 능동로 298 1층,3.9,"생소곱창 (1인)(30,000원), 양구이 (1인)(30,000원), 막창 (1인)(30,000원), 대창 (1인)(30,000원), 모듬 (1인분)(30,000원), 염통(추가1인)(15,000원)"
능동아구찜,"서울 광진구 천호대로 544 1, 2층",,"아구찜(변동가격), 해물찜(변동가격), 아구수육(변동가격), 아구탕(변동가격), 아구탕지리(변동가격), 해물탕(변동가격), 꽃게찜(변동가격), 꽃게탕(변동가격), 아구탕(점심메뉴)(12,000원)"
광장동가온,서울 광진구 아차산로78길 75 현대골든텔2차 106호,3.0,"초계메밀국수(15,000원), 가온 곰국시(14,000원), 모듬 보쌈(62,000원), 오징어 순대(20,000원), 고기/김치 손만두(10,000원), 바싹불고기(18,000원), 수육정식(45,000원), 보쌈정식(39,000원), 만두국(14,000원), 모듬전(45,000원), 보쌈(중)(48,000원), 육전(35,000원)"
함흥본가면옥 건대점,서울 광진구 광나루로 456 1층,3.4,"물냉면(10,000원), 비빔냉면(10,000원), 회냉면(11,000원), 갈비탕(15,000원), 뚝배기불고기(10,000원), 육개장(계절)(11,000원), 만두국(계절)(11,000원), 손만두(8,000원), 석쇠불고기(15,000원)"
고고기,서울 광진구 아차산로 471 CS프라자빌딩 1층,4.4,"친환경 삼겹살 (160g)(14,000원), 친환경 목살 (160g)(14,000원)"
도톰 본점,서울 광진구 능동로 386 1층,4.8,"도톰삼겹살 (180g)(16,000원), 도톰목살 (180g)(16,000원), 가브리살 (180g)(16,000원), 항정살 (180g)(19,000원), 볶음밥(3,000원)"
대원칼국수,서울 광진구 자양로18길 56 2층,4.5,"손칼국수(8,000원), 칼만두국(9,000원), 클로렐라만두 (반판)(3,000원), 들깨칼국수 (겨울)(9,000원), 클로렐라만두 (한판)(6,000원), 메밀냉콩국수 (여름)(9,000원), 메밀비빔국수 (여름)(9,000원)"
포차조개구이,서울 광진구 용마산로 40 1층,4.5,"모듬 조개찜 (소)(55,000원), 모듬 조개구이 (중)(55,000원), 모듬 조개구이 (소)(45,000원), 지리백합탕 (소)(45,000원), 명품 키조개 가리비구이(58,000원), 왕피꼬막무침(35,000원), 가리비 구이 (회 & 치즈) (소)(43,000원), 모듬 조개구이 (대)(70,000원), 모듬 조개찜 (중)(65,000원), 모듬 조개찜 (대)(78,000원), 석화회 (소)(40,000원), 석화회 (중)(50,000원), 석화회 (대)(60,000원), 왕 새우구이 (소)(25,000원), 왕 새우구이 (중)(48,000원)"
우리콩밭손두부,서울 광진구 영화사로 76 1층,3.8,"모두부(6,000원), 순두부(4,000원), 해물순두부(7,000원), 해물부추전(12,000원), 두부부침(9,000원), 순두부라면(7,000원), 얼큰김치라면(6,000원), 두부돼지김치찌개(20,000원), 두부조림(14,000원), 두부삼겹두루치기(25,000원)"
택이네조개전골 군자역점,서울 광진구 천호대로 591 유신빌딩 1층,3.4,"조개전골 (2인)(49,000원), 조개 칼국수(11,000원), 조개 전복칼국수(13,000원), 모듬칼국수(13,000원), 얼큰 조개칼국수(11,000원), 조개전골3인(65,000원), 조개전골4인(81,000원), 오징어튀김(15,000원), 돈가스(8,000원), 새우튀김(15,000원)"
군자대한곱창 본점,서울 광진구 능동로36길 10 1층,3.1,"대한모둠곱창(20,900원), 차돌곱창(19,900원), 모둠곱창(18,900원), 한우소곱창(22,900원), 소곱창(17,900원), 소대창(17,900원), 소막창(17,900원), 특양(19,900원), 대한차돌박이(9,900원), 염통구이(9,900원), 매운화양대창구이(19,900원)"
마당족발,"서울 광진구 능동로 173 1, 2층",4.0,"족발(대)(45,000원), 보쌈(대)(45,000원), 족발(중)(40,000원), 냉채족발(43,000원), 불족발(43,000원), 치즈 불족발(47,000원), 보쌈(중)(40,000원), 1인족발(30,000원), 1인보쌈(30,000원), 어묵탕(부산삼진어묵)(28,000원), 문어숙회(40,000원), 홍어(35,000원), 국산홍어(변동가격), 참소라무침(32,000원), 참소라숙회(32,000원), 보쌈정식(평일점심메뉴)(10,000원), 뚝불고기정식(평일점심메뉴)(12,000원), 멸치국수(평일점심메뉴)(8,000원), 냉모밀(평일점심메뉴)(8,000원), 냉모밀(곱) 평일점심메뉴(10,000원)"
장군갈비,서울 광진구 용마산로 11,3.6,"생갈비 (1인분)(65,000원), 양념갈비 (1인분)(54,000원), 생꽃등심 (1인분)(57,000원), 생등심 (1인분)(45,000원), 갈비살 (1인분)(47,000원)"
기와집 본점,서울 광진구 면목로 32 1층,,"능이버섯 반계탕(11,000원), 닭개장(10,000원), 오리주물럭(60,000원), 해천탕 (한마리)(150,000원), 능이유황오리백숙 (한마리)(75,000원), 능이유황오리백숙 (반마리)(45,000원), 능이토종닭백숙(75,000원), 능이명품삼계탕(18,000원), 해천탕 (반마리)(90,000원)"
돕,서울 광진구 아차산로31길 9,3.1,"우동뚝배기(10,000원), 라면뚝배기(9,500원), 김치뚝배기(9,000원), 뚝배기(8,500원), 감자탕 (대)(40,000원), 감자탕 (중)(35,000원), 감자탕 (소)(28,000원), 통문어 해물감자탕 (대)(63,000원), 통문어 해물감자탕 (중)(49,000원), 궁중뼈찜 (대)(42,000원), 궁중뼈찜 (중)(35,000원), 궁중뼈찜 (소)(29,000원), 해물뼈찜 (대)(55,000원), 해물뼈찜 (중)(45,000원), 해물뼈찜 (소)(36,000원), 횡성곱창감자탕 (소)(36,000원), 횡성곱창감자탕 (중)(45,000원), 횡성곱창감자탕 (대)(52,000원), 불차돌감자탕 (소)(33,000원), 불차돌감자탕 (중)(38,000원), 불차돌감자탕 (대)(45,000원), 닭볶음탕 (중)(30,000원), 닭볶음탕 (대)(40,000원), 곱도리탕 (중)(36,000원), 곱도리탕 (대)(45,000원), 불차돌뚝배기(11,500원), 횡성곱창뚝배기(13,000원), 제주흑돼지국밥(10,000원), 떡갈비정식(13,000원), 떡갈비(8,000원), 비빔냉면 / 물냉면(9,000원)"
동해해물,서울 광진구 동일로26길 16 1층,2.8,"해물찜 (중)(55,000원), 복찜 (중)(50,000원), 해물탕 (중)(55,000원), 복지리 (3~4인용)(45,000원), 아구찜 (중)(55,000원), 아구수육(중)(55,000원), 가오리찜(3~4인용)(50,000원), 가자미찜(3~4인용)(50,000원), 가자미세꼬시회(3인용)(50,000원), 가자미회무침(3~4인용)(50,000원), 가자미생물찌개(50,000원), 복찜(중)(55,000원), 복지리(3~4인용)(55,000원), 복매운탕(3~4인용)(55,000원), 문어연포탕(58,000원), 문어(35,000원), 참골뱅이(35,000원), 참소라(35,000원), 성게알(45,000원), 해삼(30,000원), 곰치국(2~3인용)(50,000원)"
군자오리촌,서울 광진구 능동로35길 18-1,4.3,"유황오리로스 (소)(42,000원), 유황오리더덕주물럭+삼채 (소)(47,000원), 유황오리바베큐훈제+삼채 (소)(47,000원), 한방백숙+은이버섯+삼채+찹쌀콩밥(85,000원), 한방삼계탕 (점심특선)(18,000원), 들깨오리탕 (점심특선)(10,000원), 들깨칼국수 (점심특선)(8,000원), 냉면 (점심특선)(8,000원)"
행복한우,서울 광진구 구의강변로 30,3.7,"한우꽃등심(45,000원), 한우살치등심(50,000원), 한우안심(50,000원), 한우꽃살(65,000원), 한우차돌박이(28,000원), 한우육회(28,000원), 한우육사시미(40,000원), 갈비살(24,000원), 양념소갈비(32,000원), 생삼겹살(17,000원), 생목살(17,000원), 돼지왕갈비(18,000원), (점심특선) 돼지불백+된장찌개+가마솥밥(11,000원), (점심특선)오징어돼지불백+된장찌개+가마솥밥(13,000원), 항정살(18,000원), 진꽃갈비살(29,000원), 전복갈비탕(19,000원), 영양특갈비탕(20,000원), 갈비탕(15,000원), 떡만두국(10,000원), 된장찌개(8,500원), 차돌된장찌개(10,000원), 김치찌개(9,000원), 선지해장국(9,000원), 오장동함흥냉면(10,000원)"
미식일가,서울 광진구 광나루로19길 9 1층,4.1,"조개구이(미니)(29,900원), 조개찜(미니)(25,900원), 조개전골(미니)(25,900원), 비단가리비찜(25,900원), 포구전골(25,900원), 광어막회(28,900원), 광어전복 회무침(22,900원), 해산물세트(35,900원), 참꼬막찜(12,900원), 모듬튀김(17,900원), 새우튀김(15,000원), 오돌뼈주먹밥(17,900원), 쭈새전(17,900원), 새우전(9,900원), 홍가리비찜(25,900원)"
민정식당 본점,서울 광진구 아차산로42길 41-4 1층,3.8,"소모듬수육 (중)(50,000원), 해물부추전(18,000원), 안주돈까스(15,000원), 설렁탕(10,000원), 떡만두국(10,000원), 수제돈까스(10,000원), 꼬리곰탕(25,000원), 도가니탕(15,000원), 소머리곰탕(13,000원), 계절냉면(10,000원)"
선남씨 자양점,서울 광진구 자양번영로 62 1층,3.1,"참치회 (1인)(42,000원), 다이닝코스 (1인기준)(25,000원), 특별사시미코스 (1인기준)(80,000원), 모듬회(35,000원), 불초밥(20,000원)"
비스타워커힐서울 명월관,서울 광진구 워커힐로 177,3.8,"한우등심정식(179,000원), 한우양념갈비정식(155,000원), 갈비탕(37,000원), 한우갈비탕(42,000원), 물냉면또는비빔냉면(21,000원), 한우차돌박이 꽃게 된장찌개(39,000원), 한우차돌박이 꽃게 된장찌개와 영양돌솥밥(55,000원)"
크래버 대게나라 광장점,서울 광진구 천호대로 611 1층,3.8,"대게탕(25,000원), 게장볶음밥(12,000원), 회덮밥(13,000원), 새우튀김(10p)(20,000원)"
풍성감자탕,서울 광진구 자양로18길 5,3.3,"감자탕(大)(43,000원), 감자탕(中)(38,000원), 감자탕(小)(33,000원), 뼈 해장국(공기밥 별도)(10,000원), 공기밥(1,000원), 라면사리（비조리로 직접 끓여 드셔야 합니다）(1,000원), 우거지 추가(함께 포장)(6,000원), 우거지 추가(따로 포장)(6,000원), 코카콜라 355mL(2,000원), 칠성사이다 355mL(2,000원), 펩시제로슈거라임 355mL(2,000원), 참이슬 오리지널(5,000원), 참이슬 후레쉬(5,000원), 처음처럼(5,000원), 진로 이즈백(5,000원), 카스(병)(5,000원), 테라(병)(5,000원)"
예담밥상,서울 광진구 동일로22길 13 1층,,"간장게장 한정식 (예담정식)(42,000원), 양념갈빗살 한정식(28,000원)"
치바우뼈다귀 중곡점,서울 광진구 용마산로 38 1층,4.3,"감자탕(소)(25,000원), 감자탕(중)(30,000원), 뼈찜(소)(28,000원), 뼈다귀해장국(7,000원), 콩나물해장국(6,000원)"
돈수작 능동본점,서울 광진구 능동로36길 13 1층,3.3,"족발 中(35,000원), 족발 大(38,000원), 보쌈 小(32,000원), 보쌈 中(35,000원), 보쌈 大(38,000원), 보족（보쌈＋족발）세트(53,000원), 반반족발(37,000원), 무뼈불닭발(16,000원), 골뱅이소면(15,000원), 족발 小(32,000원), 매운족발(37,000원), 미니족발(17,000원), 해물파전(13,000원), 쟁반국수(5,000원), 조개탕(13,000원), 날치알주먹밥(4,000원), 공기밥(1,000원), 보쌈김치 추가(5,000원), 콜라 500mL(2,000원), 사이다 500mL(2,000원), 생굴(12,000원)"
에이뿔램 군자점,서울 광진구 능동로36길 36 2층,4.8,"生 양갈비 프랜치랙(180g)(35,000원), 生 양갈비 숄더랙(240g)(35,000원), 生 양등심(180g)(30,000원), 양탕(12,000원), 양볶음밥(8,000원), 김치냉국수(6,000원), 된장찌개(6,000원), 스텔라 생맥주 330ml(8,000원), 하우스 와인(8,000원)"
소랑도,서울 광진구 천호대로111길 41 1층,4.5,"삼치회(35,000원), 병어(35,000원), 전어(35,000원), 간재미(35,000원), 갑오징어(35,000원), 갯장어 구이(40,000원)"
콩예원,서울 광진구 아차산로78길 75,4.0,"두루치기(20,000원), 청국장 정식(13,000원), 쌈정식(36,000원), 수육정식(36,000원), 떡갈비정식(17,000원), 묵밥(11,000원), 감자전(11,000원), 해물파전(19,000원), 떡갈비(18,000원), 두부김치(20,000원), 수육보쌈(32,000원), 도토리묵(11,000원), 코카콜라 캔（355mL）(2,000원), 스프라이트 캔（355mL）(2,000원)"
매복식당,서울 광진구 아차산로57길 10-1 1층 102호,4.6,"황지살(19,000원), 특상 로스삼겹(15,000원), 프리미엄 급랭삼겹(160g)(13,000원), 깻잎 목살(180g)(15,000원), 프리미엄 한우차돌(120g)(19,000원), 짜파게티 & 파김치(6,000원)"
