상호,주소,별점,메뉴
그랜드워커힐서울,서울 광진구 워커힐로 177,4.3,"룸타입 [Tidesquare] 디럭스 더블 산전망 (366,630원~), 룸타입 [Tidesquare] 디럭스 트윈 산전망 (366,630원~), 룸타입 [Tidesquare] 디럭스 더블 강전망 (415,030원~), 룸타입 [Tidesquare] 디럭스 트윈 강전망 (415,030원~)"
비스타워커힐서울,서울 광진구 워커힐로 177,4.3,"룸타입 [Tidesquare] 디럭스 더블 산전망 (398,090원~), 룸타입 [Tidesquare] 디럭스 트윈 산전망 (398,090원~), 룸타입 [Tidesquare] 디럭스 더블 강전망 (446,490원~), 룸타입 [Tidesquare] 디럭스 트윈 강전망 (446,490원~)"
더클래식500 펜타즈호텔,서울 광진구 능동로 90,3.3,
H에비뉴호텔 건대점,서울 광진구 동일로 156,2.6,"룸타입 스탠다드 더블(2인실ㅣ개인NETFLIX시청가능ㅣ1대무료주차) (80,000원~), 룸타입 디럭스 더블(2인실욕조룸ㅣ개인NETFLIX시청가능ㅣ1대무료주차) (90,000원~), 룸타입 특가★ 바우처 패키지(1만원바우처지류+레이트체크아웃) (90,000원~), 룸타입 프리미어 더블(욕조룸ㅣ고층뷰ㅣ개인NETFLIX시청가능ㅣ1대 무료주차) (100,000원~), 룸타입 럭키 패키지(럭키드로우선물(와인,디퓨저,입욕제,차량방향제,샴페인등)+레이트체크아웃) (110,000원~), 룸타입 특가★ 브런치 패키지(콥샐러드+156프렌치토스트+음료2잔+레이트체크아웃) (120,000원~), 룸타입 비즈니스 트윈(트윈2인실ㅣ개인NETFLIX시청가능ㅣ1대무료주차) (120,000원~), 룸타입 특가★ 치맥 패키지(순살치킨500g(3가지 맛 중 택 2)+생맥주2잔+레이트체크아웃) (120,000원~), 룸타입 특가★ 인 룸 Bar 패키지(치즈플레터+C156위스키1바틀(300ml)+레이트체크아웃) (120,000원~), 룸타입 특가★ 데이트 패키지(파스타2종+하이볼2잔+레이트체크아웃) (130,000원~), 룸타입 특가★ 주당 패키지(스테이크샐러드+위스키,사케,소주,맥주,칵테일주류무한리필+레이트체크아웃) (135,000원~), 룸타입 특가★ 힐링 패키지(조각케이크1개+레드와인1병+초+레이트체크아웃) (140,000원~), 룸타입 파티 에비뉴(4인실ㅣ개인NETFLIX시청가능ㅣ보드게임ㅣ1대무료주차) (150,000원~), 룸타입 특가★ 인 룸 다이닝 패키지(등심스테이크+샴페인1병+레이트체크아웃) (175,000원~), 룸타입 특가★ 바비큐 디너 패키지(로스트치킨+폭립/맥주,레드와인,화이트와인3종무제한+레이트체크아웃) (186,000원~)"
호텔더디자이너스프리미어 성수&건대,서울 광진구 동일로 172,2.5,"룸타입 디럭스 트윈 (89,600원~), 룸타입 디럭스 더블 (89,600원~), 룸타입 디럭스 시티뷰 (100,800원~), 룸타입 스위트 (112,000원~), 룸타입 디자이너스 스위트 (123,200원~), 룸타입 레이트체크아웃 (134,400원~), 룸타입 로얄 스위트 (168,000원~)"
부티크나인호텔,서울 광진구 천호대로 560,3.5,"룸타입 DELUXE (70,000원~), 룸타입 ORIENTAL SUITE (80,000원~), 룸타입 CUSTOMIZED SUITE (80,000원~), 룸타입 WESTERN SUITE (80,000원~), 룸타입 FUNNY SUITE (100,000원~), 룸타입 SPORTS SUITE (100,000원~), 룸타입 WESTERN V.I.P SUITE (100,000원~), 룸타입 COUPLE PC SUITE (100,000원~), 룸타입 TERRACE SUITE(욕조 없음) (100,000원~), 룸타입 SPA SUITE (130,000원~), 룸타입 BILLARD SUITE (130,000원~)"
나무호텔,서울 광진구 아차산로76가길 12,4.1,
호텔더디자이너스 건대점,서울 광진구 천호대로 521 지하3층~9층,3.3,"룸타입 Standard Double (70,000원~), 룸타입 Deluxe Twin Western (80,000원~), 룸타입 Deluxe Double (80,000원~), 룸타입 Premier Double (90,000원~), 룸타입 Premier Twin (90,000원~), 룸타입 Deluxe Double-연박전용 (90,000원~), 룸타입 Suite (120,000원~), 룸타입 Suite-연박전용 (140,000원~)"
호텔케이월드,서울 광진구 동일로 90,3.2,"룸타입 레이트체크인 할인 - 랜덤배정(이벤트) (70,000원~), 룸타입 DELUXE DOUBLE (80,000원~), 룸타입 DELUXE TWIN (90,000원~), 룸타입 PREMIUM DOUBLE (90,000원~), 룸타입 PREMIUM TWIN (100,000원~), 룸타입 얼리체크인 - 랜덤배정 (100,000원~), 룸타입 디럭스-연박전용 (120,000원~), 룸타입 PREMIUM TWIN-연박전용 (140,000원~), 룸타입 SUITE (150,000원~)"
그랜드워커힐서울 더글라스하우스,서울 광진구 워커힐로 177,3.9,
샐몬모텔,서울 광진구 동일로 367,2.8,"룸타입 Deluxe 숙박 - 도보전용 (61,600원~), 룸타입 Deluxe (67,200원~), 룸타입 Deluxe 숙박 - 도보전용(주차불가,객실랜덤배정,모든 OTT 무료시청,75""TV) (55,000원~), 룸타입 Deluxe(객실랜덤배정 ,모든 OTT 무료시청,75""TV) (60,000원~), 룸타입 고사양 PC 게이밍룸 (72,800원~), 룸타입 Suite (72,800원~), 룸타입 고사양 커플PC 게이밍룸 (78,400원~), 룸타입 Suite(객실랜덤배정,모든 OTT 무료시청,75""TV) (65,000원~), 룸타입 고사양 PC게이밍룸(객실랜덤배정 ,모든 OTT 무료시청,75""TV) (65,000원~), 룸타입 고사양 커플PC게이밍룸(객실랜덤배정 ,모든 OTT 무료시청,75""TV) (70,000원~), 룸타입 Deluxe - 연박전용(객실랜덤배정,모든 OTT 무료시청,75""TV) (80,000원)"
호텔동서울,서울 광진구 구의강변로 38,2.0,
피넛호텔,서울 광진구 자양로 63,2.7,"룸타입 스탠다드 (45,000원~), 룸타입 스탠다드 - 연박전용 (47,000원~), 룸타입 얼리 체크인 (50,000원~), 룸타입 글램핑룸 (100,000원~)"
모텔코지,서울 광진구 용마산로 24,5.0,"룸타입 일반실((도보전용)) (45,000원~), 룸타입 준특실((도보전용)) (50,000원~)"
위시앤스테이모텔,서울 광진구 광나루로 594,3.7,"룸타입 Standard (65,000원~)"
대하모텔,서울 광진구 아차산로 583,2.6,"룸타입 일반실 (60,000원), 룸타입 특실 (70,000원)"
호텔컬리넌 2 건대,서울 광진구 동일로 214,2.5,
월호텔 아차산역,서울 광진구 천호대로138길 4,2.0,"룸타입 Standard(대형TV, 넷플릭스 이용가능(개인계정)) (55,000원~), 룸타입 Premium(대형TV, 넷플릭스 이용가능(개인계정)) (60,000원~), 룸타입 VIP(대형TV, 넷플릭스 이용가능(개인계정)) (70,000원~)"
티아라모텔,서울 광진구 동일로30길 17,2.4,"룸타입 스탠다드(넷플릭스 가능) (45,000원~), 룸타입 디럭스(넷플릭스 가능) (53,000원~)"
파인힐모텔,서울 광진구 용마산로 192,4.5,
시마모텔,서울 광진구 아차산로26길 39,1.6,"룸타입 일반실(전객실 넷플릭스 설치) (80,000원)"
뮤즈모텔,서울 광진구 아차산로 377,3.0,"룸타입 Standard (40,000원~), 룸타입 Premier (70,000원~), 룸타입 Suite (100,000원~)"
호텔테마,서울 광진구 광나루로14길 5,1.6,"룸타입 STANDARD ROOM 주차불가(디즈니플러스,티빙,웨이브,애플TV 이용가능) (50,000원~), 룸타입 CINEMA ROOM(디즈니플러스,티빙,웨이브,애플TV 이용가능) (55,000원~), 룸타입 STANDARD ROOM(디즈니플러스,티빙,웨이브,애플TV 이용가능) (55,000원~), 룸타입 COUPLE PC ROOM(디즈니플러스,티빙,웨이브,애플TV 이용가능) (55,000원~), 룸타입 STANDARD ROOM(빠른입실, 디즈니플러스,티빙,웨이브,애플TV 이용가능) (70,000원~)"
