상호,주소,별점,메뉴
멕시칼리,서울 광진구 능동로36길 181 1층,4.6,"소고기 타코(2TACOS)(11,300원), 돼지고기 타코(2TACOS)(10,300원), 소고기 께사디야(14,300원), 돼지고기 께사디야(13,300원), 과꽈몰레 나초(8,800원), 새우타코(11,800원), 피쉬타코(11,800원), 비리아타코(12,800원), 소고기타코랩(11,800원), 돼지고기타코랩(10,800원), 몰까헤떼믹스또(43,000원), 스피니치&머쉬룸샐러드(26,000원), 시저꼰뽀요샐러드(18,000원), 비프치즈나초(12,800원), 치즈나초(6,800원), 멜티즈치즈딥나초(7,800원), 스피니치딥나초(11,300원), 빠빠(11,800원), 할라빼뇨믹스또(5,800원), 께소(6,800원), 과까몰레(6,800원)"
로니로티 건대점,서울 광진구 아차산로 225 3층,3.9,"목살스테이크 샐러드(17,900원), 리코타 치즈 샐러드(16,900원), 오이스터 해물 크림 스파게티(14,900원), 게살 딥 로제 스파게티(14,900원), 목살필라프(15,900원), 해산물 크림 리조또(14,900원), 베이컨 까르보나라(14,900원), 해산물 올리브 스파게티(13,900원), 해산물 토마토 스파게티(14,900원), 눈꽃 치즈 토마토 스파게티(17,900원), 해산물 야끼 필라프 매운맛(15,900원), 김치 필라프(14,900원), 갈릭 삼겹살 스테이크 샐러드(17,900원), 부채살 스테이크 샐러드(19,900원), 치킨 찹 스테이크 샐러드(17,900원), 닭가슴살 샐러드(16,900원), 핑거텐더 샐러드(16,900원), 버팔로 윙 샐러드(16,900원), 새우 샐러드(16,900원), 이탈리안 돈까스 샐러드(14,900원), 오이스터 베이컨 크림 스파게티 매콤한맛(14,900원), 오이스터 닭가슴살 크림 스파게티(14,900원), 해산물 까르보나라(14,900원), 치킨 버섯 크림 스파게티(14,900원), 차돌박이 상하이 스파게티(17,900원), 새우 필라프(15,900원), 커리게살 필라프(15,900원), 치킨필라프(15,900원), 베이컨 크림 리조또(14,900원), 치킨버섯 크림 리조또(14,900원)"
도치피자 강변,서울 광진구 아차산로62길 14-4,4.4,"감베리 풍기 샐러드(18,500원), 감베리 크레마(19,500원), 시저샐러드(18,500원), 카프레제(19,000원), 마르게리따(25,000원), 고르곤졸라피자(23,000원), 콰트로스타지오네(28,500원), 프리마베라(28,000원), 감베리(26,000원), 콰트로 포르마지(28,000원), 카프리쵸사(27,000원), 디아볼라(25,000원), 콰트로 풍기(26,000원), 홍합 나티보(22,000원), 감베리 에 루꼴라(24,000원), 버팔로 뽀모도로(22,000원), 감베리 에 풍기 샐러드(18,500원), 판체타(23,500원)"
비스타워커힐서울 피자힐,서울 광진구 워커힐로 177,3.6,"콰트로피자(92,000원), 세이스피자(104,800원), 하프앤하프피자(69,600원)"
엘루이피자 건대점,서울 광진구 아차산로33길 35 1층,4.1,"직화 불고기 피자(19,900원), 페퍼로니 피자(17,900원), 베이컨 포테이토 피자(17,900원), 치즈 피자(15,000원), 하와이안 피자(17,900원), 고르곤졸라 피자(17,900원), 양념치킨(17,000원), 케이준 치킨 샐러드(13,000원), 치즈시즈닝 감자튀김(9,000원)"
마초쉐프 건대점,서울 광진구 능동로 125 2층,3.2,"마초삼겹스테이크(23,900원), 꽃게살로제리조또 (DINNER)(15,900원), 갈릭치킨필라프 (DINNER)(13,900원), 불고기피자(14,900원), 마초토마토파스타 (DINNER)(12,900원), 까르보나라(12,900원)"
릴버거,서울 광진구 자양강변길 89 1층,4.5,"No. 1 치즈버거(8,300원), No. 2 클래식버거(12,800원), No. 3 할라피뇨 큐민 버거(13,500원), 케이준 감자튀김(4,500원), 어니언링(6,500원), 고구마튀김(5,500원), No.4 에그 베네딕트 버거(14,500원)"
메이빌 본점,서울 광진구 아차산로29길 7 지하1층,4.3,"투움바 파스타[매콤](13,800원), 쉬림프토마토파스타(13,500원), 아마트리치아나[매움](13,500원), 빠네 파스타[매콤](15,500원), 디아블로리조또(13,000원), 로제베이컨파스타(13,500원), 로제 빠네 파스타[매콤](15,500원), 쉬림프 알리오 올리오(13,000원), 케이준치킨샐러드(8,500원), 보코치니치즈샐러드(8,500원), 까르보나라(13,300원), 핫 까르보나라[매움](13,500원), 얼큰국물크림파스타[매움](14,500원), 해산물크림파스타(14,500원), 명란크림파스타(14,000원), 볼로네제 리가토니 파스타[매움](13,500원), 해산물토마토파스타(14,500원), 얼큰국물토마토파스타[매움](14,500원), 디아블로(13,000원), 감베로니리조또(12,800원), 해산물크림리조또[매움](13,300원), 해산물토마토리조또(13,300원), 해산물김치볶음밥(13,000원), 로제쉬림프파스타(13,500원), 로제해산물파스타(14,500원), 명란 바질페스토 파스타(13,500원), 레몬딜파스타(13,500원), 고르곤졸라 피자(15,800원), 갈릭스노윙 피자(15,800원), 마르게리따 피자(15,800원)"
팀스쿡 구의점,서울 광진구 광나루로50길 10 1층,4.3,"포모도로(15,000원), 아마트리치아나(15,000원), 크로산테(16,000원), 디마레 토마토(17,000원), 스캄피(16,000원)"
드로잉레시피,서울 광진구 뚝섬로33길 45 1층,4.0,"갈릭쉬림프(21,500원), 게토뉴욕 (스몰)(17,500원), 드로잉샐러드(14,500원), 올더업 프라이즈(14,000원), 봉골레(18,500원), 루꼴라 알리오올리오(17,000원), 잠봉 모짜렐라 토마토(18,000원), 케이준 쉬림프 로제(18,000원), 드로잉까르보나라(18,500원), 볼로네제 라자냐(24,500원), 트러플 화이트라구(26,500원), 성게알 어란파스타(28,500원), 부채살 스테이크(39,500원), 페퍼로니 (스몰)(13,500원), 하와이안 (스몰)(14,500원), 라따뚜이 (스몰)(16,500원), 트리플체다 포테이토 (스몰)(17,500원), 매드 포 치즈 (스몰)(17,000원), 게토서울 (스몰)(16,500원), 드로잉피자(스몰)(18,500원)"
감성타코 건대점,서울 광진구 능동로13길 39 2층,3.0,"감성 그릴드 파히타(38,000원), 트리플 미트 파히타(41,000원), 쉬림프 콤보 파히타(33,000원), 치킨 콤보 파히타(31,000원), 아가베 블랙잭 퀘사디아(13,000원), 숏립 타코(10,000원), 까르니따스 베르데 브리또(13,000원)"
비에이치테이블,서울 광진구 아차산로45길 16 1층 101호,4.5,"칠리치킨 아보카도 파니니(13,000원), 에그 베이컨 치즈 파니니(13,000원), 수제요거트와 제철과일(8,500원), 사워도우플레이트(18,000원), 토스트플레이트(18,000원), 프렌치토스트(14,000원), 트러플어니언토스트(14,000원), 블랙커피(4,000원), 콜드브루라떼(5,000원), 바닐라콜드브루라떼(5,500원), 헤이즐넛콜드크루라떼(5,500원), 피치레몬에이드(6,000원), 자몽에이드(5,500원), 오렌지에이드(5,500원), 타바론티(4,500원), 매실캐모마일(6,000원), 스파클링애플주스(4,500원), 오렌지주스(3,000원), 제로콜라(3,000원)"
호파스타 건대본점,서울 광진구 군자로3길 23 1층,3.9,"쉬림프 수제 바질 페스토(9,900원), 알프레도 크림(8,900원), 비프 치즈 생크림 로제(9,900원), 비프 풍미가 좋은 라구 볼로네제(10,900원), 뽀모도로(8,900원), 알리오올리오(8,900원), 트러플 비프 풍미가 좋은 화이트라구(11,900원), 트러플 베이컨 크림 리조또(10,900원), 트러플 베이컨 바질크림 리조또(10,900원), 클래식 라구 볼로네제 라자냐(14,900원), 비프수제바질페스토생면라자냐(15,900원)"
래빗홀버거,서울 광진구 광나루로 424 1층,4.4,"클래식 버거(10,800원), 치즈버거(8,800원), 머쉬룸 버거(10,800원), 핫페퍼 버거(10,800원)"
누이테이블,서울 광진구 아차산로26길 19 1층 101호,4.1,"비프트러플뇨끼(18,900원), 역시 스테이크(45,000원), 핏자(16,000원), 바다해산물 리조또(18,000원), 라자냐(19,000원), 생면 볼로네제 파스타(20,000원), 생면 베이컨 크림 파스타(18,000원), 버섯 리조또(16,500원), 치킨크림 리조또(17,000원), 이리비아타(15,500원), 봉골레파스타(17,500원), 특선(0원)"
