상호,주소,별점
송화산시도삭면 2호점,서울 광진구 아차산로30길 33 1층,4.2
하이디라오코리아 건대점,서울 광진구 능동로 110 스타시티 영존 A동 1층,4.3
송화양꼬치,서울 광진구 동일로18길 70 1층,4.2
뽕사부,서울 광진구 아차산로 205,3.6
매화반점 본점,서울 광진구 동일로18길 105,3.1
훈춘양꼬치,서울 광진구 아차산로34길 38,4.6
매운향솥,서울 광진구 동일로18길 61 1층,4
시옌 건대점,서울 광진구 능동로 137-8,4
메이탄,서울 광진구 광나루로 590 아산빌딩 1층,4.2
중경식객,서울 광진구 동일로20길 109,3.5
송쉐프 구의점,서울 광진구 아차산로 355 타워더모스트광진아크로텔 2층,4.1
범가,서울 광진구 광장로 58-1 1층,
천미향,서울 광진구 능동로 237 2층,2.9
원보양꼬치,서울 광진구 동일로18길 23 1층,4.3
빠오즈푸,서울 광진구 광나루로 373 1층,3.9
짬뽕지존 아차산점,서울 광진구 천호대로 682 1층,
하이난,서울 광진구 능동로 243-1,3.2
장순루,서울 광진구 아차산로76길 11 1층,4.3
연길왕꼬치 건대본점,서울 광진구 동일로18길 86 1층,
송화산시도삭면 본점,서울 광진구 뚝섬로27길 48 1층,4.1
향미숯불양꼬치,서울 광진구 긴고랑로 71 1층,4.1
대흥양다리바베큐 건대점,서울 광진구 아차산로30길 39 1층,4
고향양꼬치,서울 광진구 동일로18길 101 1층,3.3
연옥 양꼬치,서울 광진구 동일로18길 42,4.4
무한양꼬치,서울 광진구 아차산로29길 41 2층,3.5
미식반점,서울 광진구 군자로 70 동일흥업빌딩 나동 1층 107호,
명봉반점(명봉양꼬치),서울 광진구 뚝섬로31길 59 1층,4.6
금하,서울 광진구 아차산로36길 5 4층,3.4
화양양꼬치,서울 광진구 아차산로29길 44 1층,4
경성양고기꼬치구이,서울 광진구 동일로18길 53 1층,4
건대홍매양꼬치,서울 광진구 동일로18길 94 1층,4.5
청도양꼬치 2호점,서울 광진구 동일로18길 69,4.2
샤오롱바오,서울 광진구 자양번영로 20 1층,4.5
복만루 건대점,서울 광진구 동일로18길 43 1층,3.2
봉자마라탕,서울 광진구 동일로18길 22 1층,3.4
하오츠,서울 광진구 능동로 275 1층,3.2
해란양꼬치,서울 광진구 동일로18길 73,3.8
세종원 군자본점,서울 광진구 광나루로 373 1층,4.5
해룡마라룽샤,서울 광진구 동일로18길 36 1층,2.9
화양식당,서울 광진구 군자로7길 3,4.2
동북풍미,서울 광진구 동일로18길 90,4.7
허씨 정통중경마라샹궈 3호점,서울 광진구 아차산로30길 17 1층,3.5
그랜드워커힐서울 금룡,서울 광진구 워커힐로 177 본관1층,3.3
복만루,서울 광진구 아차산로 352 1층,2.3
황실짜장,서울 광진구 강변역로4길 10 지너스타워 204호,4.2
순희냉면,서울 광진구 동일로18길 84,4.7
춘선만두,서울 광진구 군자로 101 1층,4.6
복만루 2호점,서울 광진구 아차산로30길 23 2층,3.3
백옥양꼬치,서울 광진구 뚝섬로23길 97 1층,4.5
경성양육관 건대직영점,서울 광진구 동일로18길 52 1층,3.6
중국관,서울 광진구 긴고랑로 39,3.9
콴차이,서울 광진구 자양로18길 17 2층,4.2
춘향중화요리,서울 광진구 긴고랑로 99,3.7
