가게명,지역화폐,주메뉴,동,상세주소,평점,메뉴목록
백일도,O,회,중곡동,서울 광진구 능동로47길 37,4.0,"광어&연어(30,000원), 광어&우럭&연어(40,000원), 전복(15,000원), 해삼(15,000원), 가리비(15,000원), 멍게(10,000원), 돌멍게(15,000원), 소라(20,000원), 해산물모듬(30,000원), 아무거나(25,000원), 백일도모듬 (해산물 택3)(20,000원), 백일도모둠회(5가지)(1.5인)(28,000원), 광어(2인)(28,000원), 방어 (소)(50,000원), 방어 (중)(60,000원), 방어 (대)(80,000원), 방어 (특)(100,000원)"
포차조개구이,O,조개,중곡동,서울 광진구 용마산로 40 1층,4.5,"모듬 조개찜 (소)(55,000원), 모듬 조개구이 (중)(55,000원), 모듬 조개구이 (소)(45,000원), 지리백합탕 (소)(45,000원), 명품 키조개 가리비구이(58,000원), 왕피꼬막무침(35,000원), 가리비 구이 (회 & 치즈) (소)(43,000원), 모듬 조개구이 (대)(70,000원), 모듬 조개찜 (중)(65,000원), 모듬 조개찜 (대)(78,000원), 석화회 (소)(40,000원), 석화회 (중)(50,000원), 석화회 (대)(60,000원), 왕 새우구이 (소)(25,000원), 왕 새우구이 (중)(48,000원)"
장군갈비,O,갈비,중곡동,서울 광진구 용마산로 11,3.6,"생갈비 (1인분)(65,000원), 양념갈비 (1인분)(54,000원), 생꽃등심 (1인분)(57,000원), 생등심 (1인분)(45,000원), 갈비살 (1인분)(47,000원)"
힘찬갯벌낙지,O,"해물,생선",중곡동,서울 광진구 능동로37길 6,4.2,"산낙지 탕탕이(30,000원), 육회탕탕이(45,000원), 산낙지초무침(45,000원), 산낙지볶음(45,000원), 산낙지마른연포(45,000원), 산낙지연포탕(49,000원), 산낙지전골(49,000원), 문어숙회(25,000원), 문어마늘숙회(25,000원), 문어초무침(30,000원), 참소라(30,000원), 참소라초무침(35,000원), 오늘의 모듬 회 (소)(45,000원), 산우럭탕(30,000원), 매생이탕(13,000원)"
장원닭한마리,O,닭요리,중곡동,서울 광진구 천호대로111길 46 1층,4.6,"닭매운탕 (소)(25,000원), 장원닭한마리 4인(34,000원), 장원닭한마리 3인(27,000원), 장원닭한마리 2인(20,000원), 닭매운탕 (중)(32,000원), 닭매운탕(대)(39,000원), 장원닭한마리 5인(41,000원)"
아차산유황오리,O,오리,중곡동,서울 광진구 영화사로 62-1 1층,4.1,"생오리 주물럭 (반마리)(38,000원), 양념 주물럭 (반마리)(40,000원), 생반, 양념 반 주물럭(62,000원), 한방능이백숙 (오리, 닭)(85,000원), 한방백숙 (오리, 닭)(75,000원), 옻오리 (닭)(80,000원)"
우리맛,O,장어,중곡동,서울 광진구 능동로37길 14 1층,4.6,"바다장어소금구이(소)(46,000원), 바다장어회(46,000원), 바다장어보양탕(소)(46,000원), 간재미회(35,000원), 간재미무침(35,000원)"
대구참막창 중곡본점,O,"곱창,막창",중곡동,서울 광진구 긴고랑로 34 1층,4.8,"돼지막창(200g)(15,000원), 소막창(200g)(23,000원), 왕돼지갈비(300g)(15,000원), 소갈비살(150g)(18,000원), 돼지껍데기(180g)(9,000원)"
도포식당,O,"육류,고기",중곡동,서울 광진구 능동로 389 1층,,"진(眞)목살(16,000원), 특삼겹살(16,000원), 항정살(19,000원), 갈매기살(17,000원), 등겹살(16,000원)"
청정활어회직판장,O,회,중곡동,서울 광진구 긴고랑로 27 1층,4.8,"쌈야채추가(2,000원), 세꼬시물회(16,000원), 참숭어(밀치)(39,000원), 도세+막회세트(25,000원), 광어(막회)(25,000원), 참숭어+광어(37,500원), 막회(25,000원), 연어+막회(36,000원), 연어+세꼬시(32,000원), 생연어(33,000원), 도다리(세꼬시+막회)(33,000원), 돔.광.우(40,000원), 돔.광.세(36,000원), 참돔+막회(39,000원), 회무침(15,000원), 물회(16,000원), 도다리회(막회)(33,000원), 도다리회+광어(36,000원), 참돔+도다리세꼬시(36,000원), 도다리세꼬시+우럭회(36,000원), 도다리세꼬시+광어회(33,000원), 도다리세꼬시(30,000원), 참돔(42,000원), 참돔+광어(39,000원), 참돔+숭어(40,500원), 모둠세트(36,000원), 우럭(42,000원), 광어+우럭(39,000원), 광어+연어(34,500원), 돔광연(38,000원)"
