가게명,지역화폐,메뉴,가격,주메뉴,동,평균가격,가격점수,위생점수,총 점수
서울숯불갈비,X,차돌된장찌개,10000,갈비,구의동,18934.48,36.9695919824574,8.0,44.9695919824574
낙천정,O, 삼겹살(200g),18000,갈비,자양동,18934.48,66.54526556842332,8.0,74.54526556842332
김치품은 등갈비,O,김치품은등갈비찜,15000,갈비,구의동,18934.48,55.454387973686096,8.0,63.454387973686096
59년왕십리돼지숯불갈비 성수점,X, 제육볶음,10000,갈비,자양동,18934.48,36.9695919824574,8.0,44.9695919824574
마포숯불갈비,X, 숯불갈비 (1인),15000,갈비,자양동,18934.48,55.454387973686096,-30.0,25.454387973686096
진우쌈밥갈비,X, 돼지갈비,15000,갈비,자양동,18934.48,55.454387973686096,8.0,63.454387973686096
장안참나무 숯불갈비전문점,X,돼지갈비 (200g),15000,갈비,군자동,18934.48,55.454387973686096,8.0,63.454387973686096
명숯불갈비,O, 돼지갈비 1인분 200g,15000,갈비,자양동,18934.48,55.454387973686096,8.0,63.454387973686096
갈비공판장 자양점,X, 무한리필 (미취학아동),6000,갈비,자양동,18934.48,22.18175518947444,8.0,30.18175518947444
대가숯불갈비,O,돼지갈비 (250g),17000,갈비,자양동,18934.48,62.84830637017758,-30.0,32.84830637017758
연탄돼지갈비 자양점,X,돼지갈비(250g),12000,갈비,자양동,18934.48,44.36351037894888,8.0,52.36351037894888
서서갈비,O, 안창살,12000,갈비,화양동,18934.48,44.36351037894888,8.0,52.36351037894888
신창면옥,O,회냉면,12000,갈비,자양동,18934.48,44.36351037894888,30.0,74.36351037894889
돈조은날,X, 생고기,7000,갈비,화양동,18934.48,25.878714387720184,-30.0,-4.1212856122798165
팔당숯불갈비,O,삼겹살 (200g),15000,갈비,자양동,18934.48,55.454387973686096,8.0,63.454387973686096
숯불마포돼지갈비,X,돼지갈비(250g),16000,갈비,구의동,18934.48,59.151347171931846,8.0,67.15134717193185
왕갈비탕 광진본점,X,왕 갈비탕,16900,갈비,구의동,18934.48,62.47861045035301,8.0,70.47861045035302
아라주는 갈비집,X,뚝배기갈비찜,7000,갈비,중곡동,18934.48,25.878714387720184,8.0,33.87871438772018
우리동네숯불갈비정육식당,X, 돼지숯불왕갈비,14000,갈비,자양동,18934.48,51.75742877544036,8.0,59.75742877544036
돼끼리삼겹이랑갈비,O,돼지갈비(1인),13000,갈비,중곡동,18934.48,48.060469577194624,8.0,56.060469577194624
청년숯불갈비,O,숙성돼지갈비(250g),11000,갈비,중곡동,18934.48,40.666551180703145,8.0,48.666551180703145
한양숯불갈비,X,돼지갈비(250g),13000,갈비,중곡동,18934.48,48.060469577194624,8.0,56.060469577194624
대박쪽갈비,O, 매운쪽갈비(1인분),18000,갈비,자양동,18934.48,66.54526556842332,8.0,74.54526556842332
환이네갈비살 본점,X, 차돌박이(120g),14000,갈비,화양동,18934.48,51.75742877544036,8.0,59.75742877544036
백년회관서서갈비 아차산점,X,왕갈비탕,11000,갈비,구의동,18934.48,40.666551180703145,8.0,48.666551180703145
쪽갈비 대통령,X, 매운양념쪽갈비1人（400g）,18000,갈비,자양동,18934.48,66.54526556842332,8.0,74.54526556842332
광장수제갈비,O, 솔더랙 100그램,9500,갈비,광장동,18934.48,35.121112383334534,8.0,43.12111238333453
정가네,O, 삼겹살(3인),15000,갈비,화양동,18934.48,55.454387973686096,-30.0,25.454387973686096
고기굽는놈,O, 生소갈비살120g,14000,갈비,화양동,18934.48,51.75742877544036,-30.0,21.75742877544036
소금창고 건대점,X,등갈비,14000,갈비,화양동,18934.48,51.75742877544036,8.0,59.75742877544036
