가게명,주메뉴,동,상세주소,평점,메뉴목록
백일도,회,중곡동,서울 광진구 능동로47길 37,4.0,"광어&연어(30,000원), 광어&우럭&연어(40,000원), 전복(15,000원), 해삼(15,000원), 가리비(15,000원), 멍게(10,000원), 돌멍게(15,000원), 소라(20,000원), 해산물모듬(30,000원), 아무거나(25,000원), 백일도모듬 (해산물 택3)(20,000원), 백일도모둠회(5가지)(1.5인)(28,000원), 광어(2인)(28,000원), 방어 (소)(50,000원), 방어 (중)(60,000원), 방어 (대)(80,000원), 방어 (특)(100,000원)"
도톰 본점,"육류,고기",중곡동,서울 광진구 능동로 386 1층,4.8,"도톰삼겹살 (180g)(16,000원), 도톰목살 (180g)(16,000원), 가브리살 (180g)(16,000원), 항정살 (180g)(19,000원), 볶음밥(3,000원)"
포차조개구이,조개,중곡동,서울 광진구 용마산로 40 1층,4.5,"모듬 조개찜 (소)(55,000원), 모듬 조개구이 (중)(55,000원), 모듬 조개구이 (소)(45,000원), 지리백합탕 (소)(45,000원), 명품 키조개 가리비구이(58,000원), 왕피꼬막무침(35,000원), 가리비 구이 (회 & 치즈) (소)(43,000원), 모듬 조개구이 (대)(70,000원), 모듬 조개찜 (중)(65,000원), 모듬 조개찜 (대)(78,000원), 석화회 (소)(40,000원), 석화회 (중)(50,000원), 석화회 (대)(60,000원), 왕 새우구이 (소)(25,000원), 왕 새우구이 (중)(48,000원)"
택이네조개전골 군자역점,조개,중곡동,서울 광진구 천호대로 591 유신빌딩 1층,3.4,"조개전골 (2인)(49,000원), 조개 칼국수(11,000원), 조개 전복칼국수(13,000원), 모듬칼국수(13,000원), 얼큰 조개칼국수(11,000원), 조개전골3인(65,000원), 조개전골4인(81,000원), 오징어튀김(15,000원), 돈가스(8,000원), 새우튀김(15,000원)"
장군갈비,갈비,중곡동,서울 광진구 용마산로 11,3.6,"생갈비 (1인분)(65,000원), 양념갈비 (1인분)(54,000원), 생꽃등심 (1인분)(57,000원), 생등심 (1인분)(45,000원), 갈비살 (1인분)(47,000원)"
치바우뼈다귀 중곡점,감자탕,중곡동,서울 광진구 용마산로 38 1층,4.3,"감자탕(소)(25,000원), 감자탕(중)(30,000원), 뼈찜(소)(28,000원), 뼈다귀해장국(7,000원), 콩나물해장국(6,000원)"
소랑도,회,중곡동,서울 광진구 천호대로111길 41 1층,4.5,"삼치회(35,000원), 병어(35,000원), 전어(35,000원), 간재미(35,000원), 갑오징어(35,000원), 갯장어 구이(40,000원)"
힘찬갯벌낙지,"해물,생선",중곡동,서울 광진구 능동로37길 6,4.2,"산낙지 탕탕이(30,000원), 육회탕탕이(45,000원), 산낙지초무침(45,000원), 산낙지볶음(45,000원), 산낙지마른연포(45,000원), 산낙지연포탕(49,000원), 산낙지전골(49,000원), 문어숙회(25,000원), 문어마늘숙회(25,000원), 문어초무침(30,000원), 참소라(30,000원), 참소라초무침(35,000원), 오늘의 모듬 회 (소)(45,000원), 산우럭탕(30,000원), 매생이탕(13,000원)"
크래버 대게나라 광장점,"게,대게",중곡동,서울 광진구 천호대로 611 1층,3.8,"대게탕(25,000원), 게장볶음밥(12,000원), 회덮밥(13,000원), 새우튀김(10p)(20,000원)"
홍별감네,삼겹살,중곡동,서울 광진구 긴고랑로 28 1층,,"차돌된장샤브샤브 (1인분)(25,000원), 두루치기 (1인분)(14,000원), 닭도리탕 (소)(30,000원), 생삼겹살 (180g)(15,000원), 된장찌개(9,000원)"
제주탐하리,"육류,고기",중곡동,서울 광진구 천호대로101길 11 1층,4.1,"목살비계 (150g)(16,000원), 근고기 (600g)(52,000원), 김치찌개(8,000원), 고추장찌개(8,000원), 비빔국수(6,000원)"
장원닭한마리,닭요리,중곡동,서울 광진구 천호대로111길 46 1층,4.6,"닭매운탕 (소)(25,000원), 장원닭한마리 4인(34,000원), 장원닭한마리 3인(27,000원), 장원닭한마리 2인(20,000원), 닭매운탕 (중)(32,000원), 닭매운탕(대)(39,000원), 장원닭한마리 5인(41,000원)"
임진강,장어,중곡동,서울 광진구 긴고랑로 93,3.7,"풍천민물장어 (왕) (1마리)(42,000원), 풍천민물장어 (대) (2마리)(58,000원), 메기매운탕 (소)(35,000원), 빠가매운탕 (소)(45,000원), 장추어탕(9,000원), 된장찌개(5,000원), 멸치국수(4,000원)"
장인석닭한마리,닭요리,중곡동,서울 광진구 자양로43길 49-6,4.1,"한방닭한마리 (대)(4인)(52,000원), 한방닭한마리 (중)(3인)(39,000원), 한방닭한마리 (소)(2인)(26,000원), 한방닭도리탕 (대)(4인)(55,000원), 한방닭도리탕 (중)(3인)(41,000원), 한방닭도리탕 (소)(2인)(28,000원), 삼계탕(17,000원)"
아차산유황오리,오리,중곡동,서울 광진구 영화사로 62-1 1층,4.1,"생오리 주물럭 (반마리)(38,000원), 양념 주물럭 (반마리)(40,000원), 생반, 양념 반 주물럭(62,000원), 한방능이백숙 (오리, 닭)(85,000원), 한방백숙 (오리, 닭)(75,000원), 옻오리 (닭)(80,000원)"
우리맛,장어,중곡동,서울 광진구 능동로37길 14 1층,4.6,"바다장어소금구이(소)(46,000원), 바다장어회(46,000원), 바다장어보양탕(소)(46,000원), 간재미회(35,000원), 간재미무침(35,000원)"
대구참막창 중곡본점,"곱창,막창",중곡동,서울 광진구 긴고랑로 34 1층,4.8,"돼지막창(200g)(15,000원), 소막창(200g)(23,000원), 왕돼지갈비(300g)(15,000원), 소갈비살(150g)(18,000원), 돼지껍데기(180g)(9,000원)"
군자닭갈비,닭요리,중곡동,서울 광진구 능동로 315 1층,3.7,"군자 닭갈비(15,000원), 치즈 닭갈비(17,000원), 막국수(9,000원)"
도포식당,"육류,고기",중곡동,서울 광진구 능동로 389 1층,,"진(眞)목살(16,000원), 특삼겹살(16,000원), 항정살(19,000원), 갈매기살(17,000원), 등겹살(16,000원)"
청정활어회직판장,회,중곡동,서울 광진구 긴고랑로 27 1층,4.8,"쌈야채추가(2,000원), 세꼬시물회(16,000원), 참숭어(밀치)(39,000원), 도세+막회세트(25,000원), 광어(막회)(25,000원), 참숭어+광어(37,500원), 막회(25,000원), 연어+막회(36,000원), 연어+세꼬시(32,000원), 생연어(33,000원), 도다리(세꼬시+막회)(33,000원), 돔.광.우(40,000원), 돔.광.세(36,000원), 참돔+막회(39,000원), 회무침(15,000원), 물회(16,000원), 도다리회(막회)(33,000원), 도다리회+광어(36,000원), 참돔+도다리세꼬시(36,000원), 도다리세꼬시+우럭회(36,000원), 도다리세꼬시+광어회(33,000원), 도다리세꼬시(30,000원), 참돔(42,000원), 참돔+광어(39,000원), 참돔+숭어(40,500원), 모둠세트(36,000원), 우럭(42,000원), 광어+우럭(39,000원), 광어+연어(34,500원), 돔광연(38,000원)"
안흥갈비 중곡점,갈비,중곡동,서울 광진구 능동로 373 2층,4.5,"안흥갈비(250g)(16,000원), 돼지갈비(250g)(16,000원), 양념목살(250g)(16,000원), 삼겹살(180g)(16,000원), LA갈비(250g)(23,000원), 갈비탕(15,000원), 육개장(10,000원)"
맛나멸치국수,국수,중곡동,서울 광진구 긴고랑로 92 1층,4.5,"멸치(멸치국수)(6,000원), 비빔국수(7,000원), 콩나물비빔국수(7,500원), 열무국수(7,000원), 콩국수 (여름메뉴)(8,000원), 김밥(4,000원)"
피읖 제페니즈다이닝,"해물,생선",중곡동,서울 광진구 능동로 327-1 1층,4.2,"도다리사시미(15,000원), 생물청어구이(10,000원), 왕새우튀김(15,000원), 아구수육(15,000원), 메로스테이크(20,000원)"
고기처럼 중곡점,"육류,고기",중곡동,서울 광진구 긴고랑로 57 1층,4.4,"생삼겹살 (180g)(15,000원), 가브리살 (180g)(15,000원), 꼬들살 (180g)(15,000원), 천겹 (항정) (180g)(15,000원), 소갈비살 (150g)(18,000원), 수제돼지갈비((270g)(15,000원), 차돌된장죽(9,000원), 돼지껍데기(150g)(8,000원)"
용두삼겹살 쭈꾸미,"해물,생선",중곡동,서울 광진구 천호대로 647,3.0,"우삼겹쭈꾸미(1인분)(17,000원), 삼겹살쭈꾸미(1인분)(16,000원), 쭈꾸미(1인분)(14,000원), 새우쭈꾸미(1인분)(16,000원), 도토리묵 무침(중)(12,000원), 키조개/참소라(16,000원), 묵사발(8,000원), 막국수(8,000원)"
참곱창,"곱창,막창",중곡동,서울 광진구 면목로 182 중앙빌딩 1층,4.1,"야채곱창(11,000원), 알곱창(13,000원), 뼈없는닭발(12,000원), 오돌뼈(11,000원)"
우렁쌈밥,쌈밥,중곡동,서울 광진구 능동로38길 31 1층,3.4,"가정식백반(7,000원), 김치찌개(8,000원), 청국장(8,000원), 제육볶음(8,000원), 선지해장국(8,000원), 우렁쌈밥(11,000원), 뚝배기불고기(10,000원), 낙지볶음(10,000원), 오징어볶음(9,000원), 황태해장국(8,000원), 삼겹살(15,000원), 갈치조림(2인)(20,000원), 고등어조림(2인)(18,000원), 대구탕(2인)(18,000원), 육개장(9,000원)"
조서방순대국 중곡본점,순대,중곡동,서울 광진구 긴고랑로 88 1층,4.2,"조서방 스페셜(43,000원), 1인 SET(13,000원), 2인 SET(22,000원), 순대국(10,000원), 특 순대국(11,000원), 술국(18,000원), 미니수육(15,000원), 수육(소)(23,000원), 수육(중)(27,000원), 수육(대)(30,000원), 껍데기 무침(소)(9,000원), 껍데기 무침(중)(12,000원), 껍데기 무침(대)(15,000원), 오소리 감투 한접시(14,000원)"
사거리매운양푼등갈비찜 본점,갈비,중곡동,서울 광진구 긴고랑로 30 1층,4.6,"양푼 등갈비찜(250g)(14,000원), 김치 등갈비찜(250g)(15,000원), 치즈 등갈비찜(250g)(16,000원), 우동생등갈비찜(250g)(17,000원)"
미친생고기 군자역점,"육류,고기",중곡동,서울 광진구 능동로 317-1,3.2,"꽃등심(200g)(13,900원), 소갈비살(1인분)(200g)(20,000원), 육회(100g)(7,000원)"
중화호반닭갈비 아차산점,닭요리,중곡동,서울 광진구 천호대로129길 79 1층,3.1,"치즈닭갈비(13,000원), 닭갈비(11,000원), 얼큰막국수(6,000원), 막국수(6,000원), 물만두(4,000원)"
굴이짱 본점,"굴,전복",중곡동,서울 광진구 긴고랑로 61 1층,3.1,"굴찜(39,000원), 생굴보쌈(35,000원), 생굴회(25,000원), 쭈꾸미보쌈(35,000원), 산꼼장어 (1인분)(20,000원), 대하소금구이(27,000원), 대하버터구이(27,000원), 조개찜 (중)(45,000원), 조개구이 (중)(45,000원), 연포탕(45,000원), 생굴무침(29,000원), 석화 + 생굴(28,000원), 쭈꾸미철판(28,000원), 해물파전(17,000원), 소라찜(35,000원), 해물오합(45,000원), 가리비회(30,000원), 가리비찜(35,000원), 매운해물찜(45,000원), 물회 (보통)(25,000원), 굴전(18,000원), 광어 (중)(30,000원), 우럭(30,000원), 해물탕 (중)(15,000원), 조개탕 (중)(15,000원), 전복회(40,000원), 도다리세꼬시(35,000원), 도다리무침(39,000원), 전복낙지탕탕(40,000원), 산낙지(변동가격), 멍게(15,000원), 통매운탕(29,000원), 매운탕(10,000원)"
군자생고기,"육류,고기",중곡동,서울 광진구 천호대로107길 8 1층,3.6,"갈비탕(12,000원), 한우등심 (500g)(75,000원), 갈비살 (500g)(85,000원), 생삼겹 (600g)(30,000원), 생목살 (600g)(30,000원)"
가마솥도가니탕 장수옥,설렁탕,중곡동,서울 광진구 용마산로 124,2.2,"설렁탕(10,000원), 갈비탕(13,000원), 내장곰탕(15,000원), 모듬수육(소)(40,000원), 수제만두(6,000원)"
할머니손칼국수,칼국수,중곡동,서울 광진구 영화사로 8 1층,3.9,"칼국수(6,500원), 칼제비(6,500원), 수제비(6,500원), 김치만두(5,500원), 고기만두(5,500원), 칼만두(7,500원), 만두국(6,500원), 콩국수(여름메뉴)(8,500원), 비빔냉면(여름메뉴)(6,500원)"
문가네정육식당 군자역점,"육류,고기",중곡동,서울 광진구 면목로 53 1층,3.1,"작은소한마리(450g+450g)(64,000원), 소살치살(160g)(19,000원), 소갈비살(160g)(18,000원), 소토시살(160g)(18,000원), 소차돌박이(160g)(18,000원), 소꽃등심(160g)(17,000원), 소부채살(160g)(17,000원), 소우삼겹(160g)(16,000원), 한우꽃등심(150g)(35,000원), 한우차돌박이(150g)(23,000원), 생삼겹살(180g)(14,000원), 냉동삼겹살(180g)(14,000원), 삼겹살+묵은지세트(180g+150g)(17,000원)"
임면옥,국수,중곡동,서울 광진구 능동로 338 1층,3.9,"들깨수제비(11,000원), 들깨칼제비(11,000원), 들깨찹쌀옹심이(13,000원), 팥칼국수(12,000원), 팥죽(13,000원), 서리태콩국수(13,000원), 바지락칼국수(10,000원)"
명륜진사갈비 서울중곡점,갈비,중곡동,서울 광진구 용마산로 110 토끼빌딩 1층,3.8,
